emlak_tipi,m2_brut,m2_net,oda_sayisi,bina_yaşi,bulundugu_kat,isitma,banyo_sayisi,balkon,esyali,site_icerisi,krediye_uygun,kimden,konum,fiyat
0,115.0,110.0,4,8,16,0,0,0,1,2,1,1,0,196000.0
0,100.0,85.0,4,0,10,0,0,0,0,2,0,1,0,500000.0
0,160.0,150.0,7,6,13,6,0,0,2,2,1,1,0,250000.0
0,80.0,75.0,4,2,26,0,0,0,1,1,1,1,0,348000.0
0,115.0,110.0,4,4,26,0,1,0,2,2,1,1,0,295000.0
0,80.0,70.0,4,8,13,10,0,0,2,1,1,1,0,300000.0
0,90.0,80.0,4,6,23,0,0,0,2,2,1,1,0,107500.0
0,140.0,140.0,7,2,22,0,0,0,0,2,0,1,0,450000.0
0,135.0,125.0,7,10,13,0,0,0,2,2,1,1,0,435000.0
0,110.0,100.0,7,5,0,0,0,0,2,2,1,1,0,227000.0
0,100.0,90.0,4,3,14,0,0,0,2,2,1,1,0,232000.0
0,120.0,110.0,7,5,15,0,0,0,2,2,1,1,0,209000.0
0,125.0,100.0,7,0,0,9,1,0,2,2,2,2,0,615000.0
0,135.0,125.0,7,5,15,0,2,0,2,2,1,3,0,255000.0
0,120.0,110.0,7,0,10,0,1,0,2,2,2,3,0,480000.0
0,140.0,130.0,7,0,10,0,0,0,2,2,1,1,0,410000.0
0,140.0,130.0,7,2,10,0,1,0,2,2,1,1,0,425000.0
0,130.0,120.0,7,0,0,0,0,0,2,2,1,1,0,360000.0
0,100.0,90.0,4,6,13,10,0,0,2,2,2,1,0,130000.0
0,132.0,122.0,7,0,10,0,0,0,2,2,1,3,0,435000.0
0,85.0,75.0,4,8,10,0,0,1,2,2,1,1,0,160000.0
0,300.0,260.0,10,9,14,0,3,0,0,2,0,2,0,625000.0
0,230.0,200.0,14,0,17,0,1,0,0,2,0,1,0,480000.0
2,85.0,75.0,4,8,13,0,0,0,1,1,1,1,0,360000.0
0,159.0,120.0,7,9,10,0,1,0,2,2,1,1,0,398000.0
0,165.0,160.0,10,5,13,0,1,0,2,1,1,1,0,450000.0
0,100.0,90.0,4,7,13,0,0,0,2,2,1,1,0,280000.0
0,300.0,280.0,14,10,15,0,2,0,2,1,1,1,0,850000.0
0,90.0,80.0,4,5,15,0,0,0,2,2,1,2,0,99000.0
0,130.0,120.0,7,10,14,0,0,0,2,1,1,1,0,310000.0
0,110.0,100.0,4,3,26,5,0,0,1,1,2,2,0,550000.0
0,132.0,122.0,7,0,0,0,0,0,2,2,1,3,0,420000.0
0,145.0,130.0,7,10,0,0,1,0,2,2,1,1,0,330000.0
0,210.0,160.0,10,9,13,0,1,0,2,2,1,1,0,450000.0
0,110.0,105.0,4,0,23,0,0,0,2,2,1,1,0,245000.0
0,110.0,100.0,7,10,13,0,0,0,2,2,1,1,0,357500.0
0,185.0,130.0,7,0,0,0,1,0,2,2,2,3,0,570000.0
0,146.0,122.0,7,0,13,0,1,0,2,2,1,2,0,435000.0
0,80.0,75.0,4,6,13,10,0,0,1,2,1,1,0,240000.0
0,90.0,80.0,4,6,10,0,0,0,2,2,1,1,0,155000.0
0,120.0,115.0,7,6,0,0,0,0,2,2,1,1,0,250000.0
0,95.0,90.0,4,5,0,8,0,0,2,2,1,1,0,160000.0
0,190.0,170.0,7,4,13,0,0,0,2,2,1,1,0,425000.0
0,125.0,115.0,7,10,29,0,0,0,2,2,1,1,0,310000.0
0,125.0,110.0,7,4,13,0,1,0,2,1,1,3,0,550000.0
0,270.0,250.0,14,0,13,0,2,0,2,2,1,1,0,470000.0
0,190.0,180.0,14,6,15,0,1,0,2,2,1,1,0,600000.0
0,135.0,121.0,7,0,0,0,1,0,2,2,1,2,0,395000.0
0,85.0,80.0,4,8,26,10,0,0,2,2,1,1,0,350000.0
0,90.0,80.0,4,0,0,7,0,0,2,1,1,1,0,340000.0
0,150.0,125.0,7,0,14,0,1,0,2,2,1,1,0,525000.0
0,125.0,125.0,7,10,0,0,0,0,2,2,1,1,0,350000.0
0,115.0,110.0,4,7,0,0,0,0,2,1,1,1,0,375000.0
0,70.0,60.0,0,8,13,10,0,0,1,1,1,2,0,535000.0
0,130.0,120.0,7,10,29,0,1,1,2,2,1,1,0,360000.0
0,152.0,135.0,7,0,0,0,1,0,2,2,0,3,0,500000.0
0,110.0,100.0,4,10,29,0,0,1,2,2,1,2,0,280000.0
0,125.0,115.0,7,6,26,0,0,0,2,2,1,1,0,152000.0
0,170.0,155.0,7,0,0,9,1,0,2,1,1,3,0,530000.0
0,140.0,130.0,7,5,17,0,0,0,2,1,1,1,0,400000.0
2,95.0,85.0,4,3,15,8,0,0,2,1,1,2,0,350000.0
0,90.0,85.0,4,9,24,0,0,0,1,2,1,2,0,345000.0
0,110.0,110.0,4,0,29,0,0,0,2,2,1,2,0,350000.0
2,100.0,85.0,4,5,14,0,0,0,1,1,1,2,0,320000.0
0,75.0,70.0,4,8,15,10,0,0,2,2,0,2,0,240000.0
0,95.0,85.0,4,3,14,0,0,0,2,2,1,1,0,225000.0
0,110.0,100.0,4,8,14,1,0,0,2,2,1,1,0,145000.0
