emlak_tipi,m2_brut,m2_net,oda_sayisi,bina_yaşi,bulundugu_kat,isitma,banyo_sayisi,balkon,esyali,site_icerisi,krediye_uygun,kimden,konum,fiyat
  Satılık Daire ,105.0,85.0,  2+1,  0,  1,  Doğalgaz (Kombi),  2,  Var,  Belirtilmemiş,  Hayır,  Evet,  İnşaat Firmasından,Gemlik,590000.0
  Satılık Daire ,110.0,90.0,  2+1,  31 ve üzeri,  Bahçe Katı,  Doğalgaz (Kombi),  1,  Yok,  Hayır,  Hayır,  Evet,  Emlak Ofisinden,Gemlik,135000.0
  Satılık Daire ,110.0,100.0,  2+1,  31 ve üzeri,  2,  Doğalgaz (Kombi),  1,  Var,  Hayır,  Hayır,  Evet,  Emlak Ofisinden,Gemlik,188000.0
  Satılık Daire ,130.0,100.0,  2+1,  0,  4,  Doğalgaz (Kombi),  2,  Var,  Hayır,  Evet,  Evet,  İnşaat Firmasından,Gemlik,590000.0
  Satılık Daire ,110.0,90.0,  3+1,  21-25 arası,  Giriş Altı Kot 1,  Doğalgaz (Kombi),  1,  Var,  Hayır,  Hayır,  Evet,  Emlak Ofisinden,Gemlik,159000.0
  Satılık Daire ,135.0,120.0,  3+1,  21-25 arası,  5,  Doğalgaz (Kombi),  1,  Var,  Hayır,  Evet,  Evet,  Emlak Ofisinden,Gemlik,350000.0
  Satılık Daire ,120.0,115.0,  3+1,  21-25 arası,  4,  Doğalgaz (Kombi),  1,  Var,  Hayır,  Hayır,  Evet,  Emlak Ofisinden,Gemlik,195000.0
  Satılık Daire ,145.0,100.0,  3+1,  16-20 arası,  Giriş Altı Kot 2,  Doğalgaz Sobası,  1,  Var,  Hayır,  Hayır,  Belirtilmemiş,  Emlak Ofisinden,Gemlik,270000.0
  Satılık Daire ,65.0,48.0,  1+1,  26-30 arası,  5,  Yok,  1,  Var,  Evet,  Evet,  Hayır,  Sahibinden,Gemlik,295000.0
  Satılık Daire ,80.0,80.0,  2+1,  5-10 arası,  3,  Doğalgaz (Kombi),  1,  Var,  Hayır,  Hayır,  Evet,  Sahibinden,Gemlik,295000.0
  Satılık Daire ,135.0,125.0,  3+1,  2,  2,  Doğalgaz (Kombi),  1,  Var,  Hayır,  Hayır,  Evet,  Sahibinden,Gemlik,415000.0
  Satılık Daire ,140.0,120.0,  3+1,  0,  Giriş Altı Kot 2,  Doğalgaz (Kombi),  1,  Var,  Hayır,  Hayır,  Evet,  Sahibinden,Gemlik,450000.0
  Satılık Daire ,155.0,145.0,  3+1,  16-20 arası,  2,  Doğalgaz (Kombi),  2,  Var,  Hayır,  Evet,  Evet,  Emlak Ofisinden,Gemlik,430000.0
  Satılık Daire ,115.0,110.0,  2+1,  21-25 arası,  4,  Doğalgaz (Kombi),  1,  Var,  Hayır,  Hayır,  Evet,  Emlak Ofisinden,Gemlik,370000.0
  Satılık Daire ,140.0,125.0,  3+1,  5-10 arası,  Giriş Altı Kot 2,  Doğalgaz (Kombi),  2,  Var,  Hayır,  Hayır,  Evet,  Emlak Ofisinden,Gemlik,645000.0
  Satılık Daire ,130.0,120.0,  3+1,  0,  Giriş Altı Kot 1,  Doğalgaz (Kombi),  2,  Var,  Hayır,  Hayır,  Evet,  Emlak Ofisinden,Gemlik,357000.0
  Satılık Daire ,156.0,125.0,  2+1,  4,  Giriş Altı Kot 3,  Doğalgaz (Kombi),  2,  Var,  Belirtilmemiş,  Hayır,  Belirtilmemiş,  Emlak Ofisinden,Gemlik,425000.0
  Satılık Daire ,93.0,90.0,  2+1,  31 ve üzeri,  3,  Doğalgaz (Kombi),  1,  Var,  Hayır,  Hayır,  Evet,  Emlak Ofisinden,Gemlik,159000.0
  Satılık Daire ,135.0,128.0,  2+1,  0,  Çatı Katı,  Yok,  2,  Var,  Hayır,  Hayır,  Evet,  Emlak Ofisinden,Gemlik,600000.0
  Satılık Daire ,170.0,150.0,  3+1,  21-25 arası,  5,  Doğalgaz (Kombi),  2,  Var,  Hayır,  Hayır,  Evet,  Emlak Ofisinden,Gemlik,260000.0
  Satılık Daire ,135.0,125.0,  3+1,  21-25 arası,  1,  Soba,  1,  Var,  Hayır,  Hayır,  Evet,  Emlak Ofisinden,Gemlik,215000.0
  Satılık Daire ,115.0,110.0,  3+1,  21-25 arası,  Giriş Altı Kot 1,  Doğalgaz (Kombi),  1,  Var,  Evet,  Hayır,  Evet,  Emlak Ofisinden,Gemlik,200000.0
  Satılık Daire ,85.0,78.0,  2+1,  26-30 arası,  2,  Yok,  1,  Var,  Evet,  Hayır,  Evet,  Emlak Ofisinden,Gemlik,245000.0
  Satılık Daire ,147.0,130.0,  3+1,  21-25 arası,  7,  Doğalgaz (Kombi),  1,  Var,  Hayır,  Evet,  Evet,  Emlak Ofisinden,Gemlik,500000.0
  Satılık Daire ,135.0,120.0,  3+1,  4,  5,  Doğalgaz (Kombi),  1,  Var,  Hayır,  Hayır,  Evet,  Emlak Ofisinden,Gemlik,410000.0
  Satılık Daire ,95.0,90.0,  2+1,  16-20 arası,  1,  Yok,  1,  Var,  Belirtilmemiş,  Evet,  Belirtilmemiş,  Sahibinden,Gemlik,580000.0
  Satılık Daire ,140.0,130.0,  3+1,  21-25 arası,  5,  Doğalgaz (Kombi),  1,  Var,  Hayır,  Evet,  Evet,  Emlak Ofisinden,Gemlik,180000.0
  Satılık Daire ,180.0,155.0,  3+1,  3,  4,  Doğalgaz (Kombi),  2,  Var,  Hayır,  Hayır,  Evet,  Emlak Ofisinden,Gemlik,675000.0
  Satılık Daire ,130.0,130.0,  3+1,  0,  3,  Doğalgaz (Kombi),  1,  Var,  Hayır,  Hayır,  Evet,  Emlak Ofisinden,Gemlik,405000.0
  Satılık Daire ,240.0,200.0,  6+1,  0,  6,  Doğalgaz (Kombi),  3,  Var,  Hayır,  Hayır,  Evet,  Emlak Ofisinden,Gemlik,560000.0
  Satılık Daire ,160.0,145.0,  3+1,  16-20 arası,  6,  Doğalgaz (Kombi),  2,  Var,  Hayır,  Evet,  Evet,  Emlak Ofisinden,Gemlik,425000.0
  Satılık Daire ,75.0,70.0,  2+1,  26-30 arası,  Yüksek Giriş,  Yok,  1,  Var,  Hayır,  Evet,  Evet,  Emlak Ofisinden,Gemlik,210000.0
  Satılık Daire ,165.0,140.0,  3+1,  0,  Villa Tipi,  Doğalgaz (Kombi),  2,  Var,  Hayır,  Evet,  Hayır,  İnşaat Firmasından,Gemlik,720000.0
  Satılık Daire ,156.0,131.0,  3+1,  0,  3,  Doğalgaz (Kombi),  2,  Var,  Hayır,  Evet,  Evet,  Emlak Ofisinden,Gemlik,800000.0
  Satılık Daire ,110.0,100.0,  2+1,  21-25 arası,  4,  Doğalgaz (Kombi),  1,  Var,  Hayır,  Hayır,  Evet,  Sahibinden,Gemlik,200000.0
  Satılık Daire ,135.0,100.0,  3+1,  16-20 arası,  1,  Doğalgaz (Kombi),  1,  Var,  Hayır,  Evet,  Evet,  Emlak Ofisinden,Gemlik,350000.0
  Satılık Daire ,100.0,90.0,  2+1,  1,  3,  Doğalgaz (Kombi),  1,  Var,  Belirtilmemiş,  Hayır,  Evet,  Emlak Ofisinden,Gemlik,350000.0
  Satılık Daire ,140.0,125.0,  3+1,  16-20 arası,  1,  Doğalgaz (Kombi),  1,  Var,  Hayır,  Hayır,  Evet,  Emlak Ofisinden,Gemlik,225000.0
  Satılık Daire ,100.0,90.0,  2+1,  26-30 arası,  5,  Doğalgaz (Kombi),  1,  Var,  Hayır,  Hayır,  Evet,  Emlak Ofisinden,Gemlik,150000.0
  Satılık Daire ,140.0,130.0,  3+1,  26-30 arası,  3,  Doğalgaz (Kombi),  1,  Var,  Hayır,  Evet,  Hayır,  Sahibinden,Gemlik,400000.0
  Satılık Daire ,200.0,180.0,  4+1,  3,  2,  Doğalgaz (Kombi),  2,  Var,  Hayır,  Hayır,  Evet,  Emlak Ofisinden,Gemlik,450000.0
  Satılık Daire ,202.0,160.0,  3+1,  11-15 arası,  4,  Doğalgaz (Kombi),  2,  Var,  Hayır,  Hayır,  Evet,  Emlak Ofisinden,Gemlik,650000.0
  Satılık Daire ,95.0,86.0,  2+1,  0,  2,  Doğalgaz (Kombi),  1,  Var,  Evet,  Hayır,  Evet,  Sahibinden,Gemlik,465000.0
  Satılık Yazlık ,110.0,100.0,  4+1,  21-25 arası,  Müstakil,  Soba,  3,  Var,  Evet,  Hayır,  Evet,  Sahibinden,Gemlik,775000.0
  Satılık Daire ,140.0,130.0,  3+1,  26-30 arası,  1,  Doğalgaz Sobası,  1,  Var,  Hayır,  Hayır,  Hayır,  Emlak Ofisinden,Gemlik,130000.0
  Satılık Daire ,140.0,130.0,  2+1,  21-25 arası,  4,  Doğalgaz (Kombi),  1,  Var,  Hayır,  Hayır,  Evet,  Emlak Ofisinden,Gemlik,200000.0
  Satılık Daire ,110.0,90.0,  3+1,  21-25 arası,  Çatı Katı,  Doğalgaz (Kombi),  1,  Var,  Hayır,  Hayır,  Evet,  Emlak Ofisinden,Gemlik,208500.0
  Satılık Daire ,90.0,85.0,  3+1,  31 ve üzeri,  Giriş Katı,  Doğalgaz (Kombi),  1,  Var,  Hayır,  Hayır,  Hayır,  Sahibinden,Gemlik,150000.0
  Satılık Daire ,159.0,150.0,  2+1,  26-30 arası,  5,  Doğalgaz (Kombi),  1,  Var,  Hayır,  Hayır,  Hayır,  Emlak Ofisinden,Gemlik,170000.0
  Satılık Daire ,145.0,130.0,  3+1,  0,  3,  Doğalgaz (Kombi),  2,  Var,  Hayır,  Hayır,  Evet,  Emlak Ofisinden,Gemlik,420000.0
  Satılık Daire ,80.0,70.0,  2+1,  21-25 arası,  2,  Soba,  1,  Var,  Hayır,  Hayır,  Evet,  Emlak Ofisinden,Gemlik,250000.0
  Satılık Daire ,110.0,90.0,  2+1,  11-15 arası,  2,  Doğalgaz (Kombi),  1,  Var,  Hayır,  Hayır,  Evet,  Emlak Ofisinden,Gemlik,275000.0
  Satılık Yazlık ,100.0,85.0,  2+1,  31 ve üzeri,  5,  Doğalgaz (Kombi),  1,  Var,  Hayır,  Hayır,  Evet,  Emlak Ofisinden,Gemlik,330000.0
  Satılık Daire ,125.0,115.0,  3+1,  31 ve üzeri,  4,  Doğalgaz (Kombi),  1,  Var,  Hayır,  Hayır,  Evet,  Emlak Ofisinden,Gemlik,415000.0
  Satılık Daire ,103.0,100.0,  2+1,  16-20 arası,  5,  Doğalgaz (Kombi),  1,  Var,  Hayır,  Hayır,  Evet,  Emlak Ofisinden,Gemlik,185000.0
  Satılık Daire ,135.0,128.0,  3+1,  0,  3,  Doğalgaz (Kombi),  1,  Var,  Hayır,  Hayır,  Evet,  Emlak Ofisinden,Gemlik,370000.0
  Satılık Daire ,105.0,95.0,  2+1,  26-30 arası,  5,  Doğalgaz (Kombi),  1,  Var,  Hayır,  Hayır,  Evet,  Emlak Ofisinden,Gemlik,160000.0
  Satılık Daire ,115.0,110.0,  3+1,  31 ve üzeri,  3,  Soba,  1,  Var,  Hayır,  Hayır,  Evet,  Emlak Ofisinden,Gemlik,145000.0
  Satılık Daire ,112.0,90.0,  2.5+1,  21-25 arası,  Giriş Altı Kot 2,  Soba,  1,  Var,  Belirtilmemiş,  Hayır,  Evet,  Sahibinden,Gemlik,135000.0
  Satılık Daire ,145.0,135.0,  3+1,  21-25 arası,  7,  Doğalgaz (Kombi),  2,  Var,  Hayır,  Hayır,  Evet,  Emlak Ofisinden,Gemlik,420000.0
  Satılık Daire ,51.0,50.0,  1+1,  31 ve üzeri,  4,  Yok,  1,  Var,  Hayır,  Evet,  Evet,  Sahibinden,Gemlik,290000.0
  Satılık Daire ,155.0,140.0,  3+1,  0,  2,  Doğalgaz (Kombi),  2,  Var,  Hayır,  Hayır,  Hayır,  İnşaat Firmasından,Gemlik,420000.0
  Satılık Daire ,150.0,120.0,  4+1,  21-25 arası,  Müstakil,  Soba,  2,  Var,  Hayır,  Hayır,  Hayır,  Emlak Ofisinden,Gemlik,699000.0
  Satılık Yazlık ,328.0,326.0,  5+1,  11-15 arası,  Müstakil,  Yok,  2,  Var,  Hayır,  Hayır,  Hayır,  Emlak Ofisinden,Gemlik,589000.0
  Satılık Daire ,135.0,130.0,  3+1,  21-25 arası,  10,  Doğalgaz (Kombi),  1,  Var,  Hayır,  Hayır,  Evet,  Emlak Ofisinden,Gemlik,325000.0
  Satılık Daire ,80.0,75.0,  2+1,  21-25 arası,  4,  Soba,  1,  Var,  Hayır,  Hayır,  Evet,  Emlak Ofisinden,Gemlik,265000.0
  Satılık Daire ,78.0,70.0,  2+1,  16-20 arası,  Giriş Katı,  Doğalgaz (Kombi),  1,  Yok,  Evet,  Hayır,  Hayır,  Emlak Ofisinden,Gemlik,250000.0
  Satılık Daire ,140.0,120.0,  3+1,  0,  2,  Doğalgaz (Kombi),  2,  Var,  Hayır,  Hayır,  Evet,  Emlak Ofisinden,Gemlik,650000.0
  Satılık Daire ,80.0,75.0,  2+1,  26-30 arası,  4,  Soba,  1,  Var,  Evet,  Evet,  Evet,  Emlak Ofisinden,Gemlik,250000.0
  Satılık Daire ,130.0,125.0,  3+1,  0,  1,  Doğalgaz (Kombi),  1,  Var,  Hayır,  Hayır,  Evet,  Emlak Ofisinden,Gemlik,410000.0
  Satılık Daire ,139.0,138.0,  4+1,  5-10 arası,  2,  Doğalgaz (Kombi),  1,  Yok,  Hayır,  Hayır,  Evet,  Bankadan,Gemlik,360000.0
  Satılık Daire ,165.0,155.0,  3+1,  4,  2,  Doğalgaz (Kombi),  2,  Var,  Belirtilmemiş,  Evet,  Evet,  Sahibinden,Gemlik,875000.0
  Satılık Daire ,100.0,90.0,  2+1,  31 ve üzeri,  3,  Klima,  1,  Var,  Hayır,  Hayır,  Evet,  Emlak Ofisinden,Gemlik,165000.0
  Satılık Daire ,125.0,99.0,  2+1,  0,  Bahçe Katı,  Doğalgaz (Kombi),  2,  Var,  Hayır,  Evet,  Evet,  Emlak Ofisinden,Gemlik,590000.0
  Satılık Daire ,130.0,120.0,  3+1,  16-20 arası,  2,  Doğalgaz (Kombi),  2,  Var,  Belirtilmemiş,  Hayır,  Belirtilmemiş,  Emlak Ofisinden,Gemlik,260000.0
  Satılık Daire ,130.0,120.0,  3+1,  21-25 arası,  5,  Doğalgaz (Kombi),  1,  Var,  Hayır,  Hayır,  Evet,  Emlak Ofisinden,Gemlik,275000.0
  Satılık Daire ,100.0,95.0,  3+1,  0,  Giriş Katı,  Doğalgaz (Kombi),  1,  Yok,  Hayır,  Hayır,  Evet,  Sahibinden,Gemlik,250000.0
  Satılık Daire ,145.0,140.0,  3+1,  5-10 arası,  2,  Doğalgaz (Kombi),  1,  Var,  Hayır,  Hayır,  Evet,  Emlak Ofisinden,Gemlik,675000.0
  Satılık Daire ,140.0,130.0,  3+1,  21-25 arası,  Villa Tipi,  Soba,  1,  Var,  Hayır,  Hayır,  Evet,  Emlak Ofisinden,Gemlik,850000.0
  Satılık Daire ,160.0,155.0,  3+1,  5-10 arası,  1,  Doğalgaz (Kombi),  2,  Var,  Hayır,  Hayır,  Evet,  Emlak Ofisinden,Gemlik,450000.0
  Satılık Daire ,120.0,115.0,  3+1,  0,  2,  Doğalgaz (Kombi),  1,  Var,  Hayır,  Hayır,  Evet,  Emlak Ofisinden,Gemlik,465000.0
  Satılık Daire ,100.0,90.0,  2+1,  21-25 arası,  Yüksek Giriş,  Yok,  1,  Var,  Hayır,  Hayır,  Evet,  Emlak Ofisinden,Gemlik,155000.0
  Satılık Daire ,110.0,100.0,  2+1,  31 ve üzeri,  2,  Doğalgaz (Kombi),  1,  Var,  Hayır,  Hayır,  Evet,  Emlak Ofisinden,Gemlik,190000.0
  Satılık Daire ,155.0,140.0,  3+1,  31 ve üzeri,  1,  Doğalgaz (Kombi),  1,  Var,  Hayır,  Hayır,  Evet,  Emlak Ofisinden,Gemlik,460000.0
  Satılık Daire ,140.0,130.0,  3+1,  2,  2,  Doğalgaz (Kombi),  1,  Var,  Hayır,  Hayır,  Evet,  Emlak Ofisinden,Gemlik,355000.0
  Satılık Daire ,150.0,130.0,  3+1,  26-30 arası,  3,  Doğalgaz (Kombi),  1,  Var,  Hayır,  Hayır,  Evet,  Emlak Ofisinden,Gemlik,260000.0
